x,y,type
100,84,1
113,106,1
60,79,2
107,54,3
112,48,3
58,81,2
115,52,3
119,45,3
76,93,2
89,97,2
67,59,2
121,48,3
151,58,3
111,50,3
121,49,3
68,68,2
128,56,3
110,51,3
107,46,3
55,56,2
110,42,3
130,50,3
122,45,3
116,48,3
123,50,3
135,63,3
106,44,3
111,53,3
120,49,3
61,17,0
124,53,3
130,43,3
77,97,2
120,44,3
107,52,3
109,49,3
117,55,3
76,76,2
64,68,2
131,57,3
106,50,3
66,74,2
70,68,2
124,44,3
111,53,3
126,57,3
70,85,2
106,102,1
105,46,3
134,45,3
69,62,2
119,53,3
106,48,3
59,71,2
57,16,0
116,52,3
121,54,3
110,45,3
129,49,3
58,56,2
115,49,3
75,90,2
54,64,2
135,50,3
139,48,3
122,46,3
115,40,3
127,55,3
128,52,3
95,111,1
108,103,1
102,95,1
77,43,0
134,48,3
115,48,3
123,55,3
85,102,2
127,49,3
127,55,3
107,95,1
119,48,3
68,66,2
68,79,2
143,49,3
106,109,1
97,44,3
117,41,3
75,82,2
121,47,3
131,57,3
105,40,3
107,84,1
117,49,3
44,15,0
71,67,2
159,81,0
109,46,3
139,50,3
111,45,3
112,51,3
83,110,2
61,82,2
130,44,3
84,102,2
129,61,3
129,108,0
133,49,3
101,49,3
64,72,2
112,46,3
131,43,3
115,48,3
116,111,1
142,53,3
135,52,3
115,55,3
118,53,3
77,98,2
108,122,1
130,49,3
133,53,3
130,53,3
109,120,1
83,100,2
128,59,3
89,75,2
120,48,3
113,47,3
115,41,3
118,52,3
110,51,3
118,44,3
144,60,3
63,75,2
136,49,3
111,98,1
165,49,5
61,66,2
107,108,1
71,84,2
131,46,3
118,102,1
65,64,2
62,66,2
141,49,3
75,45,0
66,73,2
123,58,3
134,47,3
141,53,3
122,42,3
58,58,2
119,50,3
64,39,0
60,69,2
127,44,3
155,61,3
117,40,3
73,84,2
120,42,3
128,49,3
124,49,3
128,185,9
133,52,3
65,63,2
115,48,3
131,45,3
120,46,3
104,96,1
132,42,3
119,51,3
110,98,1
137,59,3
132,44,3
118,52,3
142,50,3
121,52,3
150,53,3
117,51,3
130,57,3
129,48,3
141,60,3
61,69,2
72,85,2
138,53,3
117,52,3
128,51,3
148,55,3
65,73,2
121,54,3
125,52,3
101,56,3
106,51,3
138,53,3
57,67,2
106,45,3
125,56,3
131,49,3
125,46,3
62,37,0
114,45,3
115,69,3
62,73,2
133,68,3
140,55,3
80,101,2
106,124,1
67,66,2
115,45,3
122,91,1
112,37,3
141,50,3
125,43,3
125,52,3
135,57,3
127,48,3
109,53,3
99,96,1
135,55,3
130,63,3
124,48,3
130,60,3
140,43,3
123,41,3
115,46,3
111,53,3
73,35,0
121,45,3
131,56,3
111,51,3
128,50,3
121,43,3
119,52,3
126,51,3
73,47,0
83,61,2
62,81,2
140,42,3
105,108,1
67,93,2
126,57,3
133,58,3
97,46,3
100,46,3
80,89,2
119,40,3
149,37,3
96,89,1
171,49,5
105,65,3
122,43,3
129,51,3
127,48,3
125,52,3
131,55,3
124,44,3
136,51,3
142,56,3
104,43,3
129,48,3
176,37,5
104,50,3
138,44,3
145,59,3
58,73,2
112,94,1
108,113,1
70,77,2
118,57,3
42,6,0
20,1,0
132,51,3
102,96,1
126,47,3
61,42,0
119,42,3
115,47,3
123,43,3
111,40,3
114,49,3
126,67,3
126,47,3
148,59,3
120,114,1
117,111,1
137,48,3
126,48,3
60,70,2
76,65,2
132,47,3
131,52,3
147,44,3
140,49,3
121,48,3
85,43,0
140,51,3
68,59,2
66,88,2
78,83,2
121,52,3
136,54,3
123,50,3
121,52,3
71,61,2
117,57,3
115,47,3
143,53,3
103,43,3
140,57,3
126,50,3
129,56,3
114,38,3
106,50,3
68,78,2
141,55,3
135,51,3
114,53,3
114,106,1
127,42,3
134,53,3
173,40,5
70,68,2
79,65,2
114,52,3
116,53,3
120,57,3
124,54,3
105,56,3
113,39,3
74,80,2
142,35,3
115,59,3
107,49,3
136,52,3
65,44,0
112,47,3
108,44,3
120,46,3
110,49,3
114,49,3
122,46,3
38,16,0
117,52,3
114,58,3
105,114,1
121,49,3
78,66,2
64,67,2
129,56,3
